,num_incident,accident_type
624,2010S000625,crash_into_stationary
625,2010S000626,frontal-lateral_collision
626,2010S000627,rear-end_collision
627,2010S000628,rear-end_collision
628,2010S000629,crash_into_stationary
629,2010S000630,rear-end_collision
630,2010S000631,frontal-lateral_collision
631,2010S000632,lateral_collision
632,2010S000633,frontal-lateral_collision
633,2010S000634,Other_types
634,2010S000635,frontal-lateral_collision
635,2010S000636,run_over
636,2010S000637,rear-end_collision
637,2010S000638,lateral_collision
638,2010S000639,"fall--motorcycle,crash_into_stationary"
639,2010S000640,rear-end_collision
640,2010S000641,rear-end_collision
641,2010S000642,lateral_collision
642,2010S000643,frontal-lateral_collision
643,2010S000644,frontal-lateral_collision
644,2010S000645,frontal-lateral_collision
645,2010S000646,frontal_collision
646,2010S000647,run_over
647,2010S000648,run_over
648,2010S000649,lateral_collision
649,2010S000650,frontal-lateral_collision
650,2010S000651,frontal-lateral_collision
651,2010S000652,rear-end_collision
652,2010S000653,run_over
653,2010S000654,lateral_collision
654,2010S000655,rear-end_collision
655,2010S000656,rear-end_collision
656,2010S000657,lateral_collision
657,2010S000658,fall--motorcycle
658,2010S000659,lateral_collision
659,2010S000660,frontal-lateral_collision
660,2010S000661,frontal-lateral_collision
661,2010S000662,rear-end_collision
662,2010S000663,multiple_rear-end_collision
663,2010S000664,fall--motorcycle
664,2010S000665,frontal-lateral_collision
665,2010S000666,rear-end_collision
666,2010S000667,lateral_collision
667,2010S000668,rear-end_collision
668,2010S000669,fall--motorcycle
669,2010S000670,rear-end_collision
670,2010S000671,lateral_collision
671,2010S000672,multiple_rear-end_collision
672,2010S000673,fall_inside_vehicle
673,2010S000674,frontal-lateral_collision
674,2010S000675,frontal-lateral_collision
675,2010S000676,multiple_rear-end_collision
676,2010S000677,lateral_collision
677,2010S000678,rear-end_collision
678,2010S000679,rear-end_collision
679,2010S000680,lateral_collision
680,2010S000681,rear-end_collision
681,2010S000682,crash_into_stationary
682,2010S000683,lateral_collision
683,2010S000684,rear-end_collision
684,2010S000685,lateral_collision
685,2010S000686,fall--motorcycle
686,2010S000687,run_over
687,2010S000688,lateral_collision
688,2010S000689,crash_into_stationary
689,2010S000690,rear-end_collision
690,2010S000691,multiple_rear-end_collision
691,2010S000692,frontal-lateral_collision
692,2010S000693,lateral_collision
693,2010S000694,lateral_collision
694,2010S000695,multiple_rear-end_collision
695,2010S000696,frontal-lateral_collision
696,2010S000697,lateral_collision
697,2010S000698,lateral_collision
698,2010S000699,rear-end_collision
699,2010S000700,run_over
700,2010S000701,lateral_collision
701,2010S000702,lateral_collision
702,2010S000703,run_over
703,2010S000704,run_over
704,2010S000705,run_over
705,2010S000706,run_over
706,2010S000707,frontal-lateral_collision
707,2010S000708,fall_inside_vehicle
708,2010S000709,"multiple_rear-end_collision,Other_types"
709,2010S000710,multiple_rear-end_collision
710,2010S000711,frontal-lateral_collision
711,2010S000712,"frontal-lateral_collision,crash_into_stationary"
712,2010S000713,crash_into_stationary
713,2010S000714,"rear-end_collision,run_over"
714,2010S000715,crash_into_stationary
715,2010S000716,crash_into_stationary
716,2010S000717,"fall--motorcycle,frontal-lateral_collision"
717,2010S000718,overturning
718,2010S000719,rear-end_collision
719,2010S000720,lateral_collision
720,2010S000721,run_over
721,2010S000722,rear-end_collision
722,2010S000723,rear-end_collision
723,2010S000724,rear-end_collision
724,2010S000725,crash_into_stationary
725,2010S000726,lateral_collision
726,2010S000727,fall--motorcycle
727,2010S000728,"fall--motorcycle,frontal-lateral_collision"
728,2010S000729,frontal-lateral_collision
729,2010S000730,run_over
730,2010S000731,lateral_collision
731,2010S000732,frontal-lateral_collision
732,2010S000733,crash_into_stationary
733,2010S000734,crash_into_stationary
734,2010S000735,crash_into_stationary
735,2010S000736,"Other_types,fall--motorcycle"
736,2010S000737,lateral_collision
737,2010S000738,frontal-lateral_collision
738,2010S000739,crash_into_stationary
739,2010S000740,crash_into_stationary
740,2010S000741,frontal-lateral_collision
741,2010S000742,rear-end_collision
742,2010S000743,fall_inside_vehicle
743,2010S000744,frontal-lateral_collision
744,2010S000745,frontal-lateral_collision
745,2010S000746,frontal-lateral_collision
746,2010S000747,lateral_collision
747,2010S000748,frontal-lateral_collision
748,2010S000749,lateral_collision
749,2010S000750,frontal-lateral_collision
750,2010S000751,lateral_collision
751,2010S000752,rear-end_collision
752,2010S000753,frontal-lateral_collision
753,2010S000754,lateral_collision
754,2010S000755,fall--motorcycle
755,2010S000756,crash_into_stationary
756,2010S000757,lateral_collision
757,2010S000758,run_over
758,2010S000759,rear-end_collision
759,2010S000760,rear-end_collision
760,2010S000761,lateral_collision
761,2010S000762,rear-end_collision
762,2010S000763,run_over
763,2010S000764,lateral_collision
764,2010S000765,lateral_collision
765,2010S000766,fall--motorcycle
766,2010S000767,run_over
767,2010S000768,lateral_collision
768,2010S000769,frontal-lateral_collision
769,2010S000770,crash_into_stationary
770,2010S000771,frontal-lateral_collision
771,2010S000772,lateral_collision
772,2010S000773,Other_types
773,2010S000774,lateral_collision
774,2010S000775,crash_into_stationary
775,2010S000776,lateral_collision
776,2010S000777,frontal-lateral_collision
777,2010S000778,fall--motorcycle
778,2010S000779,crash_into_stationary
779,2010S000780,frontal-lateral_collision
780,2010S000781,"run_over,frontal-lateral_collision"
781,2010S000782,crash_into_stationary
782,2010S000783,lateral_collision
783,2010S000784,lateral_collision
784,2010S000785,frontal-lateral_collision
785,2010S000786,lateral_collision
786,2010S000787,lateral_collision
787,2010S000788,frontal-lateral_collision
788,2010S000789,lateral_collision
789,2010S000790,fall--motorcycle
790,2010S000791,lateral_collision
791,2010S000792,Other_types
792,2010S000793,rear-end_collision
793,2010S000794,"fall--motorcycle,rear-end_collision"
794,2010S000795,frontal-lateral_collision
795,2010S000796,fall--motorcycle
796,2010S000797,rear-end_collision
797,2010S000798,lateral_collision
798,2010S000799,lateral_collision
799,2010S000800,lateral_collision
800,2010S000801,rear-end_collision
801,2010S000802,"rear-end_collision,lateral_collision"
802,2010S000803,run_over
803,2010S000804,lateral_collision
804,2010S000805,rear-end_collision
805,2010S000806,frontal-lateral_collision
806,2010S000807,crash_into_stationary
807,2010S000808,frontal-lateral_collision
808,2010S000809,lateral_collision
809,2010S000810,rear-end_collision
810,2010S000811,lateral_collision
811,2010S000812,rear-end_collision
812,2010S000813,frontal-lateral_collision
813,2010S000814,fall--motorcycle
814,2010S000815,rear-end_collision
815,2010S000816,run_over
816,2010S000817,frontal-lateral_collision
